"stage","deployment_id","injection_type","deployment_start_timestamp","failed_deployment","detection_timestamp","recovery_timestamp","recovery_duration_seconds","rollback_used","first_healthy_timestamp","deployment_duration_seconds"
"0","stage0-1776094104062","fail","2026-04-13T15:28:24.062Z","true","2026-04-13T15:31:03.487Z","2026-04-13T15:34:12.872Z","189","manual","2026-04-13T15:30:37.420Z","133"
"0","stage0-1776094798630","fail","2026-04-13T15:39:58.630Z","true","2026-04-13T15:42:12.008Z","2026-04-13T15:45:27.409Z","195","manual","2026-04-13T15:41:41.926Z","103"
"0","stage0-1776095491694","fail","2026-04-13T15:51:31.694Z","true","2026-04-13T15:53:24.028Z","2026-04-13T15:56:51.557Z","208","manual","2026-04-13T15:53:14.995Z","103"
"0","stage0-1776096075188","fail","2026-04-13T16:01:15.188Z","true","2026-04-13T16:02:48.492Z","2026-04-13T16:06:32.939Z","224","manual","2026-04-13T16:02:35.452Z","80"
"0","stage0-1776096612844","fail","2026-04-13T16:10:12.844Z","true","2026-04-13T16:12:05.177Z","2026-04-13T16:15:41.661Z","216","manual","2026-04-13T16:11:57.147Z","104"
"0","stage0-1776097397574","fail","2026-04-13T16:23:17.574Z","true","2026-04-13T16:24:30.818Z","2026-04-13T16:27:23.217Z","172","manual","2026-04-13T16:24:23.793Z","66"
"0","stage0-1776098656408","fail","2026-04-13T16:44:16.408Z","true","2026-04-13T16:45:46.654Z","2026-04-13T16:48:59.014Z","192","manual","2026-04-13T16:45:19.586Z","63"
"0","stage0-1776099419265","fail","2026-04-13T16:56:59.265Z","true","2026-04-13T16:58:26.787Z","2026-04-13T17:01:31.129Z","184","manual","2026-04-13T16:58:15.759Z","76"
"0","stage0-1776099880415","fail","2026-04-13T17:04:40.416Z","true","2026-04-13T17:06:23.725Z","2026-04-13T17:09:30.128Z","186","manual","2026-04-13T17:06:10.688Z","90"
"0","stage0-1776100374914","fail","2026-04-13T17:12:54.914Z","true","2026-04-13T17:14:53.266Z","2026-04-13T17:18:02.738Z","189","manual","2026-04-13T17:14:39.219Z","104"
"1","stage1-1776177092464","fail","2026-04-14T14:31:32.464Z","true","2026-04-14T14:33:27.735Z","2026-04-14T14:36:43.106Z","195","manual","2026-04-14T14:33:07.677Z","95"
"1","stage1-1776177580908","fail","2026-04-14T14:39:40.908Z","true","2026-04-14T14:41:35.158Z","2026-04-14T14:44:48.529Z","193","manual","2026-04-14T14:41:13.110Z","92"
"1","stage1-1776261521745","fail","2026-04-15T13:58:41.745Z","true","2026-04-15T14:00:38.211Z","2026-04-15T14:03:29.584Z","171","manual","2026-04-15T14:00:20.168Z","98"
"1","stage1-1776262230124","fail","2026-04-15T14:10:30.124Z","true","2026-04-15T14:12:31.373Z","2026-04-15T14:15:30.669Z","179","manual","2026-04-15T14:12:17.341Z","107"
"1","stage1-1776262657092","fail","2026-04-15T14:17:37.092Z","true","2026-04-15T14:19:31.374Z","2026-04-15T14:22:30.718Z","179","manual","2026-04-15T14:19:14.326Z","97"
"1","stage1-1776263171006","fail","2026-04-15T14:26:11.006Z","true","2026-04-15T14:28:00.257Z","2026-04-15T14:31:09.697Z","189","manual","2026-04-15T14:27:48.221Z","97"
"1","stage1-1776263580037","fail","2026-04-15T14:33:00.037Z","true","2026-04-15T14:34:50.302Z","2026-04-15T14:37:54.631Z","184","manual","2026-04-15T14:34:31.254Z","91"
"1","stage1-1776264079403","fail","2026-04-15T14:41:19.403Z","true","2026-04-15T14:43:08.661Z","2026-04-15T14:46:58.066Z","229","manual","2026-04-15T14:42:50.607Z","91"
"1","stage1-1776264587925","fail","2026-04-15T14:49:47.925Z","true","2026-04-15T14:51:40.150Z","2026-04-15T14:55:02.561Z","202","manual","2026-04-15T14:51:30.126Z","102"
"1","stage1-1776264979528","fail","2026-04-15T14:56:19.528Z","true","2026-04-15T14:57:55.731Z","2026-04-15T15:01:01.111Z","185","manual","2026-04-15T14:57:39.691Z","80"
